Date,Apv,Bpv,Cpv,Dpv,Epv,Fpv,Gpv,Hpv,NEWpv,,,,,,,,,,
2017-07-04-23,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-05-0,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-05-1,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-05-2,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-05-3,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-05-4,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-05-5,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-05-6,0.189233,0,0.53235,0.26208,0.0880324,0.206537,0,0.42274,0.554358,,,,,,,,,,
2017-07-05-7,5.0336,0.006712,4.86977,1.88534,1.52025,0.345358,0.414398,5.20521,4.22741,,,,,,,,,,
2017-07-05-8,8.68039,5.35618,16.3784,4.3407,6.01667,0.792291,5.88719,9.90313,8.62486,,,,,,,,,,
2017-07-05-9,17.2445,5.96697,19.2481,7.18099,8.50528,2.11616,8.41467,8.64962,17.7973,,,,,,,,,,
2017-07-05-10,23.9461,8.83635,25.0942,5.89352,14.2883,3.20302,9.41128,10.6273,27.0513,,,,,,,,,,
2017-07-05-11,32.759,6.18846,38.2014,7.96559,25.9391,3.08452,5.87692,14.2371,43.6311,,,,,,,,,,
2017-07-05-12,41.7259,8.7558,45.561,7.92792,42.0422,7.43196,9.60307,10.5207,42.9441,,,,,,,,,,
2017-07-05-13,40.5905,13.7965,42.8878,12.8337,34.2243,8.03803,13.4799,11.55,35.5674,,,,,,,,,,
2017-07-05-14,34.4053,10.0076,30.683,9.04012,30.7978,8.7152,11.1785,15.0863,26.6602,,,,,,,,,,
2017-07-05-15,29.1608,8.55109,31.443,11.1269,30.5269,14.3899,9.12703,10.1237,30.1598,,,,,,,,,,
2017-07-05-16,19.3315,8.84642,19.8886,11.4857,12.4227,7.71976,6.54132,11.3588,21.6268,,,,,,,,,,
2017-07-05-17,12.4488,7.37649,8.99098,5.60687,8.08205,5.03139,8.57906,8.35554,13.3998,,,,,,,,,,
2017-07-05-18,6.50151,0.869204,6.71416,2.93366,3.43326,3.10822,0.893867,6.46975,6.23738,,,,,,,,,,
2017-07-05-19,2.52221,0.003356,1.84439,0.877968,0.998829,0.907411,0,1.17264,1.79231,,,,,,,,,,
2017-07-05-20,0.156793,0,0.620802,0.04095,0.172679,0.118505,0,0.0698439,0.0850243,,,,,,,,,,
2017-07-05-21,0,0,0.00819,0,0.0101576,0,0,0,0,,,,,,,,,,
2017-07-05-22,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-05-23,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-06-0,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-06-1,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-06-2,0,0,0,0,0.0135434,0,0,0,0.00340097,,,,,,,,,,
2017-07-06-3,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-06-4,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-06-5,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
