Date,hour,A,B,C,D,E,F,G,H,NEW,Acon,Bcon,Ccon,Dcon,Econ,Fcon,Gcon,Hcon,NEWcon
2017-07-02-16,16,703.62,871.92,953.4,844.2,447.3,500.13,209.88,626.58,2316.24,804.0216393,1157.107869,1504.937705,1042.337705,462.9536066,339.4165574,507.3137705,838.3529508,2420.817049
2017-07-02-17,17,730.44,909,1233.6,876.6,433.12,485.37,209.52,658.08,2239.2,864.2980328,1211.680328,1385.370492,1111.013115,461.5457377,289.8486885,362.0567213,834.0004918,2378.401967
2017-07-02-18,18,817.2,963.9,1089.6,1007.4,231.01,486.18,208.08,699.03,2042.64,1002.67082,1297.245246,1417.485246,1170.659016,373.8481967,310.8688525,361.8619672,836.3508197,2174.842623
2017-07-02-19,19,831.96,1039.14,1150.2,1039.2,315.33,518.58,139.68,695.88,1769.04,1047.473115,1382.526885,1293.088525,1177.347541,369.4837705,330.5906557,366.0845902,827.1177049,1975.314098
2017-07-02-20,20,871.38,1084.86,1063.2,873,302.47,482.13,127.08,688.14,1523.52,1098.298033,1442.891803,1207.75082,980.6065574,354.5263934,324.36,426.9659016,831.9909836,1769.618361
2017-07-02-21,21,853.74,1077.84,1212,883.2,399.27,527.13,125.1,697.68,1266.84,1095.474098,1449.076721,1211.252459,965.8622951,358.422623,345.2739344,542.7767213,831.4878689,1358.734426
2017-07-02-22,22,819,1042.02,1033.2,768,399.85,508.23,122.22,711.09,911.52,1040.43541,1384.483279,1205.537705,926.852459,360.5468852,349.2545902,538.4714754,817.4272131,943.8196721
2017-07-02-23,23,754.56,995.94,978,897,411.23,493.83,120.42,723.78,834.84,931.777377,1294.028852,969.452459,806.6655738,363.7878689,324.9737705,534.3698361,809.3154098,836.722623
2017-07-03-0,0,673.38,867.06,494.4,585.6,374.4,430.47,121.14,712.08,866.88,784.9239344,1111.591475,415.052459,434.0852459,357.9016393,184.3214754,461.4314754,830.4108197,803.8918033
2017-07-03-1,1,577.44,760.5,468,565.2,371.6,53.01,121.32,660.51,777.6,669.844918,965.4963934,436.1606557,383.4196721,358.0927869,176.7585246,537.202623,816.4785246,777.1278689
2017-07-03-2,2,523.26,703.08,399,512.4,397.74,35.28,121.68,705.69,741.6,600.9786885,873.7140984,379.5639344,318.0295082,359.0086885,313.117377,534.9245902,806.7821311,766.4281967
2017-07-03-3,3,524.34,665.82,462.6,529.2,366.48,21.69,122.04,752.76,764.64,615.9363934,818.3331148,417.5213115,375.157377,358.0234426,300.535082,530.1678689,808.8137705,760.5265574
2017-07-03-4,4,552.06,648,426,381.6,370.94,27.63,121.86,760.95,769.68,597.7711475,789.6068852,376.2393443,324.9147541,355.2760656,313.3180328,359.7344262,820.3706557,764.6459016
2017-07-03-5,5,491.4,649.8,661.8,676.8,404.56,20.16,121.68,738.99,783.72,568.4488525,783.1209836,849.6196721,608.4885246,349.5957377,302.9001639,525.9983607,815.7172131,775.2983607
2017-07-03-6,6,539.64,686.7,953.4,1092.6,398.67,26.55,122.4,835.02,849.96,658.4665574,845.0232787,1159.022951,937.8196721,355.6793443,303.8931148,523.0416393,816.0521311,857.2367213
2017-07-03-7,7,625.86,777.96,1566,1419,393.26,48.15,483.12,895.05,970.2,774.392459,978.4062295,1372.2,1393.347541,418.0419672,303.7691803,519.0137705,813.1352459,1018.8
2017-07-03-8,8,752.04,874.98,1741.2,1417.8,394.24,131.85,918.36,747.81,1325.88,828.1386885,1065.502623,1572.22623,1348.868852,421.8731148,311.6685246,645.4504918,842.6036066,1413.643279
2017-07-03-9,9,763.92,932.22,1377.6,1086,396.9,146.61,917.82,716.49,1748.88,802.1419672,1087.63377,1342.563934,1049.222951,422.6852459,356.1609836,645.1760656,839.6498361,1882.982951
2017-07-03-10,10,770.22,946.98,1296,949.8,367.64,151.2,980.64,798.3,2145.24,806.8101639,1074.186885,1381.170492,1069.347541,439.0542623,344.062623,676.6170492,834.5242623,2334.92459
2017-07-03-11,11,741.42,970.2,1315.8,1062,396.04,138.96,896.4,947.61,2397.24,785.1216393,1095.379672,1385.645902,1177.003279,436.9677049,345.8065574,633.0186885,835.2619672,2462.287869
2017-07-03-12,12,756.9,1002.78,1421.4,972.6,399.89,85.77,621,892.98,2277,794.8740984,1126.507869,1448.832787,1061.006557,355.6442623,208.522623,526.4203279,816.0137705,2424.505574
2017-07-03-13,13,804.78,978.84,1317,1006.2,394.56,147.69,957.78,943.65,2335.68,818.3803279,1126.622951,1407.92459,1052.744262,450.3122951,309.0098361,646.3740984,864.6506557,2510.89377
2017-07-03-14,14,724.14,982.44,1838.4,1051.2,397.51,162.27,774.54,865.17,2392.2,785.3488525,1132.598361,1646.557377,1108.947541,458.7267213,347.9606557,574.2442623,854.4231148,2505.322623
2017-07-03-15,15,718.38,970.56,1915.8,1113,392.76,150.93,772.74,912.78,2390.76,793.3721311,1133.380328,1551.540984,1158.531148,462.7295082,336.7563934,613.2570492,848.8327869,2456.309508
2017-07-03-16,16,728.46,1008.36,1726.2,894,399.53,127.71,641.16,836.28,2381.4,804.0216393,1157.107869,1504.937705,1042.337705,462.9536066,339.4165574,507.3137705,838.3529508,2420.817049
2017-07-03-17,17,777.6,1043.64,1577.4,955.2,376.02,53.37,506.16,845.55,2311.56,864.2980328,1211.680328,1385.370492,1111.013115,461.5457377,289.8486885,362.0567213,834.0004918,2378.401967
2017-07-03-18,18,869.4,1059.84,1498.2,978.6,419.83,32.85,530.82,1005.93,2054.88,1002.67082,1297.245246,1417.485246,1170.659016,373.8481967,310.8688525,361.8619672,836.3508197,2174.842623
2017-07-03-19,19,916.92,1103.04,1449.6,1074,415.69,28.35,514.08,908.82,1708.92,1047.473115,1382.526885,1293.088525,1177.347541,369.4837705,330.5906557,366.0845902,827.1177049,1975.314098
2017-07-03-20,20,951.84,1172.88,1243.8,953.4,385.67,36.27,605.34,980.46,1475.64,1098.298033,1442.891803,1207.75082,980.6065574,354.5263934,324.36,426.9659016,831.9909836,1769.618361
2017-07-03-21,21,936.18,1148.94,1249.8,978.6,322.96,26.28,799.74,1004.22,1212.12,1095.474098,1449.076721,1211.252459,965.8622951,358.422623,345.2739344,542.7767213,831.4878689,1358.734426
2017-07-03-22,22,870.66,1107.72,1075.2,887.4,372.89,27,729,895.77,841.32,1040.43541,1384.483279,1205.537705,926.852459,360.5468852,349.2545902,538.4714754,817.4272131,943.8196721
2017-07-03-23,23,767.16,1024.74,1144.8,835.8,407.05,21.78,721.44,893.34,765.72,931.777377,1294.028852,969.452459,806.6655738,363.7878689,324.9737705,534.3698361,809.3154098,836.722623
