Date,DA,RT,Signal,reg_ccp,reg_pcp
2017-07-15-1,20.21,21.29,-0.604224059,5.09,0.54
2017-07-15-2,19.27,18.77,-0.565962657,2.97,0.58
2017-07-15-3,18.26,18.32,-0.539638812,4.71,0.81
2017-07-15-4,17.91,17.85,-0.457606367,4.1,1.03
2017-07-15-5,17.99,17.99,0.291398837,4.18,0.84
2017-07-15-6,17.55,16.79,0.265687175,6.27,0.49
2017-07-15-7,19.47,17.900001,0.338842975,4.29,0.78
2017-07-15-8,21.1,20.82,0.232017141,2.48,5.57
2017-07-15-9,22.75,22.18,0.26691154,0.8,4.76
2017-07-15-10,24.74,24.86,0.294153658,9.07,1.26
2017-07-15-11,27.32,27.97,0.243954699,6.35,4.65
2017-07-15-12,28.82,29.28,0.291704928,8.63,4.05
2017-07-15-13,29.99,30.27,0.159779614,21.07,7.39
2017-07-15-14,31.67,29.2,-0.261707989,9.88,0
2017-07-15-15,32.52,31.43,-0.625956535,10.57,2.55
2017-07-15-16,34.44,30.89,-0.546066728,1.8,0
2017-07-15-17,34.47,61.45,-0.500765228,38.83,0
2017-07-15-18,32.05,31.11,0.213039486,6.71,0.62
2017-07-15-19,29.98,29.93,0.290174472,9.41,5.27
2017-07-15-20,27.94,26.17,0.262626263,8.61,4.43
2017-07-15-21,26.65,26.81,0.302112029,7.72,4.79
2017-07-15-22,23.64,23.43,0.31986532,3.37,4.3
2017-07-15-23,21.41,20.01,0.145087236,6.62,4.58
2017-07-16-0,19.4,19.49,-0.502601775,4.06,0.14
2017-07-16-1,18.95,20.77,-0.550045914,4.93,1.4
2017-07-16-2,16.89,16.9,-0.590449954,7.56,0.17
2017-07-16-3,16.28,17.07,-0.609733701,4.98,1.64
2017-07-16-4,16.23,16.81,-0.429445975,4.18,1.03
2017-07-16-5,15.41,11.38,0.283134374,9.14,4.22
2017-07-16-6,14.4,5.54,0.258953168,11.63,4.85
2017-07-16-7,15.78,16.01,0.345883073,6.02,4.01
2017-07-16-8,19.09,18.950001,0.34251607,2.4,4.57
2017-07-16-9,21.19,20.94,0.323844506,3.68,5.34
2017-07-16-10,23.13,22.21,0.324456688,2.9,3.4
2017-07-16-11,25.03,24.84,0.241199878,6.1,5.21
2017-07-16-12,27.26,27.6,0.257116621,6.98,4.8
2017-07-16-13,28.37,31.66,0.194674013,16.42,7.32
2017-07-16-14,30.57,34.62,-0.557698194,18.92,0.88
2017-07-16-15,32.6,40.01,-0.636975819,16.98,0
2017-07-16-16,34.4,45.31,-0.470462198,21.24,0
2017-07-16-17,36.25,61.53,-0.494643404,41.52,0
2017-07-16-18,33.25,38.13,0.204162841,11.12,4.45
2017-07-16-19,31.69,44.91,0.309152127,26.08,3.52
2017-07-16-20,29.43,28.75,0.068564432,8.88,4.67
2017-07-16-21,27.83,28.99,0.273033364,16.56,6.5
